aaaa	N
aaal	N
aaas	N
aaa	N
aaberg	N
aachen	N
aaee	N
aae	N
aaf	N
aagr	N
aag	N
aalborg	N
aalesund	N
aalii	N
aalst	N
aalto	N
aam	N
aapss	N
aap	N
aarau	N
aara	N
aardvark	N
aardwolf	N
aardwolves	p
aaren	N
aargau	N
aarhus	N
aarika	N
aaronical	A
aaronic	A
aaronite	N
aaronitic	A
aaronson	N
aaron	N
aar	N
aas	N
aatech	N
aaup	N
aauw	N
aau	N
aavtech	N
aa	N
abaca	N
abaciscus	N
abacist	N
aback	v
abacli	p
abaco	N
abactinal	A
abaculus	N
abacus	N
abac	N
abadan	N
abaddon	N
abad	N
abaft	vP
abagael	N
abagail	N
abagtha	N
abailard	N
abaised	A
abakan	N
abalone	N
abampere	N
abamp	N
abana	N
abandonable	A
abandonedly	v
abandoned	A
abandonee	N
abandoner	N
abandonment	N
abandon	tN
abantes	N
abaptiston	N
abarbarea	N
abaris	N
abased	At
abaser	N
abase	t
abashedly	v
abashedness	N
abashment	N
abash	t
abasia	N
abasic	A
abasing	t
abas	N
abatable	A
abatage	N
abated	V
abatement	N
abater	N
abate	N
abating	V
abatis	N
abatjours	p
abatjour	N
abator	N
abattage	N
abattoir	N
abaxial	A
aba	N
abbacies	p
abbacy	N
abbai	N
abbasid	N
abbate	N
abbatial	A
abba	N
abbess	N
abbeville	N
abbevillian	NA
abbeystead	N
abbeys	p
abbey	N
abbe	N
abbie	N
abbi	N
abbotcy	N
abbotsen	N
abbotsford	N
abbotship	N
abbotson	N
abbotsun	N
abbottson	N
abbott	N
abbot	N
abboud	N
abbreviated	t
abbreviate	t
abbreviating	t
abbreviation	N
abbreviator	N
abbr	N
abbye	N
abby	N
abb	N
abcoulomb	N
abc	N
abdaria	p
abdella	N
abdel	N
abderhalden	N
abderus	N
abdias	N
abdicable	A
abdicant	AN
abdicated	V
abdicate	V
abdicating	V
abdication	N
abdicative	A
abdicator	N
abdomen	N
abdominal	A
abdominous	A
abdon	N
abduced	t
abducens	N
abducentes	p
abducent	A
abduce	t
abducing	t
abduction	N
abductor	N
abduct	t
abdulla	N
abdul	N
abdu	N
abd	N
abeam	v
abebi	N
abecedarian	NA
abecedaries	p
abecedarium	N
abecedary	NA
abednego	N
abed	N
abelard	N
abele	N
abelian	A
abell	N
abelmosk	N
abel	N
abenezra	N
abeokuta	N
abepp	N
abercrombie	N
abercromby	N
aberdare	N
aberdeenshire	N
aberdeen	NA
aberglaube	N
abernathy	N
abernethy	N
abernon	N
aberrance	N
aberrancy	N
aberrant	A
aberrational	A
aberration	N
abert	N
aberystwyth	N
abesse	N
abessive	AN
abetment	N
abettal	N
abetted	t
abetting	t
abettor	N
abet	V
abeyance	N
abeyant	A
abey	N
abe	N
abfarad	N
abfm	N
abgatha	N
abhenries	p
abhenry	N
abhominable	A
abhorred	t
abhorrence	N
abhorrently	v
abhorrent	A
abhorrer	N
abhorring	t
abhor	V
abiathar	N
abia	N
abib	N
abidance	N
abided	V
abider	N
abide	Vti
abidingly	v
abidingness	N
abiding	A
abidjan	N
abient	A
abietate	N
abie	N
abigael	N
abigail	N
abigale	N
abihu	N
abijah	N
abilene	N
abilities	p
ability	N
abilyne	N
abimelech	N
abineri	N
abingdon	N
abinger	N
abington	N
abinoam	N
abiogenesis	N
abiogenetically	v
abiogenetic	A
abiogenist	N
abiosis	N
abiotically	v
abiotic	A
abiotrophic	A
abiotrophy	N
abirritant	AN
abirritated	t
abirritate	t
abirritating	t
abirritation	N
abirritative	A
abishag	N
abisha	N
abisia	N
abiu	N
abixah	N
abjectedness	N
abjection	N
abjective	A
abjectly	v
abjectness	N
abject	A
abjunction	N
abjuration	N
abjuratory	A
abjured	t
abjurer	N
abjure	t
abjuring	t
abkhazian	N
abkhazia	N
abkhaz	N
ablactated	t
ablactate	t
ablactating	t
ablactation	N
ablated	V
ablate	t
ablating	V
ablation	N
ablatival	A
ablative	AN
ablator	N
ablaut	N
ablaze	v
ablegate	N
ablepharous	A
ablepsia	N
ableptical	A
abler	A
ablest	A
able	AN
ablins	v
ablock	v
abloom	vA
abls	N
abluent	AN
ablush	A
ablutionary	A
ablution	N
ably	v
abl	N
abmhos	p
abmho	N
abmodalities	p
abmodality	N
abm	N
abnakis	p
abnaki	N
abnegated	t
abnegate	t
abnegating	t
abnegation	N
abnegator	N
abner	N
abnormalcies	p
abnormalcy	N
abnormalised	t
abnormalise	t
abnormalising	t
abnormalities	p
abnormality	N
abnormalized	t
abnormalize	t
abnormalizing	t
abnormally	v
abnormalness	N
abnormal	A
abnormities	p
abnormity	N
aboardage	N
aboard	vP
abode	NV
abohm	N
aboideau	N
abolishable	A
abolisher	N
abolishment	N
abolish	t
abolitionary	A
abolitionised	t
abolitionise	t
abolitionising	t
abolitionism	N
abolitionist	N
abolitionized	t
abolitionize	t
abolitionizing	t
abolition	NA
abollae	p
abolla	N
abomasa	p
abomasum	N
abomasusi	p
abomasus	N
abominableness	N
abominable	A
abominably	v
abominated	t
abominate	t
abominating	t
abomination	N
abominator	N
abondance	N
aboon	vP
aborad	v
aboral	A
aboriginality	N
aboriginally	v
aboriginal	A
aborigine	N
aborning	v
aborn	N
aborticide	N
abortifacient	AN
abortional	A
abortionist	N
abortion	N
abortively	v
abortiveness	N
abortive	A
abortus	N
abort	Vit
abott	N
aboudikro	N
abought	V
aboukir	N
aboulia	N
aboulic	A
aboundingly	v
abound	i
about	PvA
aboveboard	vA
aboveground	A
above	PvNA
abox	A
abo	N
abpc	N
abp	N
abracadabra	!N
abradant	AN
abraded	ti
abrader	N
abrade	t
abrading	ti
abrahamsen	N
